958,-31
961,-29
966,-28
970,-27
973,-27
973,-28
978,-29
978,-28
980,-31
982,-28
982,-28
980,-30
976,-33
971,-42
967,-41
967,-49
969,-38
971,-27
973,-24
976,-23
978,-31
982,-27
987,-28
991,-29
995,-31
998,-30
995,-30
995,-31
995,-32
995,-32
995,-31
993,-32
991,-31
989,-31
987,-31
984,-31
984,-33
982,-31
980,-29
978,-30
978,-29
978,-24
980,-26
982,-24
984,-24
984,-25
987,-21
989,-23
991,-25
991,-24
989,-25
989,-27
987,-27
984,-24
982,-22
982,-19
980,-20
978,-10
976,-12
976,-14
976,-15
978,-16
980,-18
982,-21
984,-21
984,-20
984,-20
984,-22
984,-22
982,-33
984,-34
980,-30
976,-31
976,-28
976,-28
978,-30
980,-26
980,-28
982,-28
984,-27
982,-28
984,-29
987,-29
984,-30
982,-29
982,-29
982,-30
984,-30
984,-30
984,-30
984,-29
984,-29
984,-29
984,-29
987,-30
987,-29
987,-30
987,-29
987,-29
989,-29
991,-29
993,-29
995,-29
998,-29
998,-29
998,-29
998,-28
998,-28
998,-28
998,-29
998,-30
998,-30
998,-30
998,-29
998,-28
998,-29
998,-30
998,-30
998,-30
998,-28
995,-30
993,-29
991,-30
989,-32
989,-31
984,-30
980,-29
976,-28
971,-29
969,-28
969,-28
969,-28
969,-28
969,-28
967,-28
969,-28
969,-24
969,-24
969,-26
967,-21
965,-22
962,-22
960,-22
958,-22
969,-34
973,-37
976,-37
976,-36
976,-32
978,-32
978,-32
978,-32
980,-32
982,-30
980,-31
978,-30
976,-29
976,-25
976,-25
976,-25
976,-25
976,-25
976,-25
976,-25
976,-25
976,-31
976,-30
976,-29
976,-27
976,-27
976,-29
976,-27
976,-31
976,-30
976,-30
976,-27
976,-27
976,-26
978,-28
980,-28
982,-30
980,-55
978,-57
978,-43
978,-43
978,-43
978,-43
978,-43
976,-34
973,-34
971,-35
976,-33
980,-33
982,-30
984,-31
984,-33
980,-32
975,-34
978,-29
978,-29
978,-30
975,-28
973,-28
971,-29
969,-30
969,-29
973,-30
980,-29
978,-29
980,-30
982,-29
982,-30
982,-29
982,-29
982,-28
982,-29
982,-28
982,-28
984,-28
984,-28
984,-28
987,-28
989,-28
991,-28
991,-28
991,-28
993,-28
991,-29
989,-28
987,-28
984,-28
982,-28
980,-28
978,-28
978,-28
978,-28
976,-28
976,-28
978,-29
980,-29
982,-29
984,-29
987,-30
987,-29
987,-30
987,-30
987,-29
987,-31
984,-31
982,-29
980,-29
978,-30
976,-29
976,-29
976,-30
978,-29
978,-29
980,-29
980,-28
980,-32
980,-38
980,-41
980,-39
980,-38
980,-36
978,-35
980,-34
978,-32
980,-27
982,-26
984,-29
984,-28
984,-24
984,-23
984,-23
984,-25
982,-26
982,-27
980,-28
980,-23
978,-20
978,-22
978,-27
978,-30
978,-30
978,-27
978,-29
978,-26
978,-27
976,-29
971,-30
967,-30
967,-28
967,-23
967,-25
967,-25
964,-25
964,-26
964,-26
964,-27
969,-25
973,-24
973,-26
973,-24
973,-25
973,-26
976,-25
976,-24
976,-25
976,-26
976,-25
978,-29
978,-26
980,-32
982,-30
984,-29
987,-29
984,-27
987,-18
989,-18
987,-16
982,-15
980,-15
980,-14
980,-14
976,-17
971,-18
971,-20
967,-29
962,-27
962,-27
962,-27
962,-27
958,-27
954,-27
956,-12
958,-15
960,-15
962,-13
962,-16
965,-21
967,-18
969,-20
971,-22
973,-25
973,-25
976,-28
978,-28
978,-29
980,-28
980,-26
978,-30
976,-30
973,-27
971,-27
971,-19
971,-17
969,-24
969,-21
962,-21
956,-20
951,-18
976,-26
976,-27
976,-29
976,-29
976,-28
976,-29
976,-28
976,-28
978,-27
980,-28
982,-29
984,-30
984,-26
984,-26
987,-23
989,-21
982,-26
982,-24
982,-26
982,-25
982,-25
980,-24
982,-25
984,-27
984,-28
982,-27
989,-24
989,-28
987,-27
984,-25
982,-28
