timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
19,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
28,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,59,6,-2,-1,1,2,149,6,-1,2,1,-2,260,6,2,-1,-2,0,819,6,-2,-1,-1,-4,372,3,1,-1,1,2
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,59,8,1,-2,-1,0,126,7,2,1,-1,-2,260,7,0,2,-2,3,327,7,-2,-1,-3,-2,551,7,2,-1,0,-1
75,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,11,-3,1,-1,2,327,9,2,1,0,1,149,9,-2,1,-2,-2,395,9,-2,-1,1,0,752,8,-1,-2,0,1
106,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,11,2,-1,0,2,81,11,-1,3,-2,-1,149,11,-2,-2,1,2,193,10,2,-2,-3,-1,327,10,-2,0,-2,1
122,5,2,54,44,9,197,-40,8,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,81,11,2,0,-1,-1,171,11,-1,3,2,0,37,11,1,0,-2,0,775,11,1,3,1,0,864,11,-1,-3,0,-1
153,6,2,51,53,9,178,-72,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,12,-2,2,2,-1,81,11,-1,-2,2,1,775,11,-2,1,-3,1,171,11,1,-1,0,1,842,10,1,-2,1,-2
184,7,5,49,50,10,174,45,9,781,-14,8,103,59,10,317,7,8,37,14,4,1,-1,-3,149,13,-1,-4,-4,1,81,13,-1,3,4,0,775,11,1,-1,0,2,216,10,1,2,4,-1
215,8,5,48,39,11,162,25,10,788,-12,9,110,38,10,304,7,8,37,15,-4,0,-2,2,81,14,-1,-4,-2,-3,149,14,2,2,4,1,842,12,0,3,0,1,775,11,2,-1,1,-2
231,9,5,46,38,11,153,26,10,794,-11,9,115,34,10,295,7,8,37,14,1,0,1,-2,81,14,-1,2,3,2,842,14,-1,4,-3,3,149,13,-1,-2,-2,0,909,11,-2,-2,1,-2
247,10,5,45,37,11,153,24,10,797,-13,10,111,34,11,298,16,8,149,13,2,-1,1,-2,819,13,2,0,1,3,37,13,0,-1,-1,-1,81,13,0,0,-2,0,327,10,-2,0,-1,2
301,11,5,43,30,12,141,21,11,799,-13,10,108,28,11,293,16,9,842,13,2,1,1,4,149,13,-1,1,2,6,775,13,0,-3,0,-3,37,13,-1,1,-4,1,81,12,1,-1,1,-5
302,12,5,41,25,12,130,20,12,801,-11,11,114,18,11,853,-5,11,149,13,-1,-3,-2,-4,842,13,3,0,4,2,37,13,2,2,0,2,909,12,-2,2,-2,2,193,11,2,-1,3,-2
333,13,5,41,19,12,130,21,12,810,-13,12,110,12,12,280,22,10,842,14,3,-2,2,2,149,13,1,1,-1,-1,37,12,1,-1,4,-4,81,12,1,1,3,3,193,11,-1,2,1,0
349,14,5,41,36,13,817,-9,12,126,19,12,121,16,12,864,-3,11,819,15,3,-2,3,-4,37,14,4,-1,-4,0,104,13,-2,3,2,-2,193,12,2,-1,-1,1,909,12,-2,1,-2,2
380,15,5,39,31,13,824,-11,13,121,19,13,137,15,12,262,25,10,842,14,2,1,-1,1,59,14,-2,-1,-3,3,126,14,3,0,-1,-1,193,12,-2,1,-1,1,283,10,1,0,1,2
396,16,5,41,29,13,830,-11,13,126,18,13,141,13,12,258,25,10,842,14,1,-1,1,-2,59,13,-2,-1,3,-2,126,13,1,1,-3,1,216,11,1,0,3,1,439,11,-1,-2,2,-2
427,17,5,835,-9,13,41,22,13,121,16,13,155,7,12,264,23,10,819,14,1,-3,1,-3,37,13,-1,-2,-2,2,104,12,1,1,2,-5,216,10,-1,0,-4,1,283,10,2,-1,1,-1
458,18,5,832,-8,13,124,22,13,41,25,13,155,10,11,264,21,10,37,14,2,2,2,0,819,14,-2,0,0,1,104,12,-2,-1,-2,2,149,12,2,-2,-2,-1,216,10,1,1,2,0
474,19,5,830,-10,13,130,20,12,41,30,13,161,6,11,271,17,10,819,15,-3,-3,1,-3,37,13,-1,-2,0,1,149,13,-2,3,1,2,216,11,-1,-2,0,-1,283,10,1,1,-1,1
510,20,5,832,-7,14,128,9,13,41,37,13,182,5,11,273,11,10,842,15,-1,-3,-2,-2,37,14,2,-3,1,1,126,14,-3,1,-3,-5,350,11,2,2,1,1,283,10,-1,-2,0,-1
525,21,5,830,-7,14,41,-51,13,126,0,13,202,2,11,276,2,10,37,16,-4,2,-1,-5,819,15,-2,-3,1,-3,126,13,1,0,4,4,350,11,0,-2,2,1,283,10,-1,1,-1,-1
557,22,5,828,-6,14,41,-62,13,124,-23,13,211,3,11,278,0,10,37,15,2,-2,-1,4,819,15,-2,1,-2,1,126,13,-1,2,-3,-2,350,10,0,-1,-3,0,283,10,0,1,1,2
572,23,5,825,-3,14,41,-68,14,121,-22,12,222,3,10,294,0,10,37,14,0,-1,-1,-1,819,14,-1,-1,-2,-2,126,12,1,-1,1,0,193,10,1,2,0,1,529,10,-2,1,0,-2
603,24,5,823,-8,14,41,-50,14,126,-17,12,224,4,10,309,-13,10,37,14,1,2,2,1,797,14,-2,2,-1,0,149,12,-2,1,-1,1,216,12,-1,-3,-2,-3,350,10,-1,2,-3,-1
635,25,5,821,-8,14,39,-45,13,130,-12,12,227,4,10,316,-13,10,37,13,-1,0,-2,0,819,13,-2,0,-1,-3,171,12,2,1,2,0,216,12,-1,2,0,2,104,12,1,-2,-1,-1
650,26,5,821,-9,14,37,-39,13,133,-10,12,227,6,10,323,-13,10,37,13,1,-2,2,-1,842,13,-2,-1,-1,-1,149,12,-1,-1,1,-2,216,12,1,1,1,0,104,11,-1,1,1,0
682,27,5,823,-11,14,37,-31,13,133,-14,12,227,0,11,329,-13,10,37,13,-1,2,-2,2,842,13,-2,1,-3,-1,216,12,0,-2,4,-1,104,11,-1,1,-1,-1,887,11,-1,-1,2,-3
697,28,5,826,-13,13,37,-38,13,139,-19,12,222,-7,11,334,-25,10,171,13,4,1,1,4,37,13,1,2,1,-3,104,13,-2,-3,1,-1,842,12,-1,-1,2,-1,260,12,-3,-1,-1,-4
728,29,5,828,-12,13,37,-45,13,135,-22,12,218,-12,11,332,-25,10,104,14,2,3,-1,-1,37,14,-1,-3,0,3,171,13,-2,-1,1,-4,842,13,-2,2,-1,-1,752,12,2,-2,2,0
760,30,5,828,-15,13,37,-48,13,133,-20,12,204,-11,11,323,-25,10,104,13,1,-1,1,1,842,13,-2,2,-1,1,37,13,1,0,0,-3,149,13,1,1,1,3,193,13,-2,1,-4,1
775,31,5,830,-15,13,37,56,13,130,-22,12,191,-10,11,309,-24,10,842,13,0,2,-3,2,104,13,-1,-1,1,0,37,12,-1,-1,-1,2,149,12,1,0,1,0,216,12,2,0,-1,1
807,32,5,832,-15,13,37,29,13,128,-14,12,177,-8,12,296,-26,11,37,13,-2,2,1,1,104,13,-1,-2,-2,-1,149,13,2,-2,-1,-2,216,12,-2,1,2,-2,305,12,2,-2,-2,3
822,33,5,835,-15,13,173,-8,12,37,30,13,126,-12,12,280,-27,11,37,12,1,0,1,-3,104,12,1,1,2,2,149,12,-1,1,-2,0,193,12,-1,-1,2,0,305,12,-1,1,1,-3
853,34,5,841,-16,12,166,-13,12,121,-12,12,37,30,12,264,-27,11,104,12,1,-1,-2,-2,864,12,-2,1,-1,3,149,11,0,1,2,-1,193,11,1,1,0,1,305,11,-1,-1,-1,2
885,35,5,837,-14,12,164,-12,12,115,-14,12,37,30,12,255,-25,11,193,11,-2,-1,-3,0,104,11,-1,1,2,1,260,11,2,-1,1,-1,775,11,1,2,0,2,864,11,-1,-1,-1,-3
909,36,5,830,-14,12,168,-15,12,251,-22,11,110,-8,12,37,30,12,305,12,3,-1,2,-1,260,11,-1,-2,2,-3,350,11,1,2,4,1,104,11,1,1,3,2,193,11,0,1,-3,-1
