timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
10,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
33,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,11,0,4,-3,2,126,10,-3,-2,-3,0,59,9,-1,3,1,2,954,9,-3,1,-2,-3,171,6,2,-1,-2,-3
49,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,11,1,2,0,1,842,10,0,-3,0,0,59,10,2,0,-1,-1,395,10,2,2,-1,3,954,10,-2,-1,-2,1
80,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,13,3,2,1,2,842,12,2,-2,2,0,395,11,0,-3,2,-1,327,10,-2,2,-3,-2,59,10,1,-1,-1,1
96,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,14,2,4,-1,3,395,11,0,2,-2,-2,59,10,-1,2,0,2,327,10,0,-1,0,2,439,9,-2,1,2,-2
127,5,2,900,-23,12,59,6,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,16,-3,-4,3,-2,976,15,4,1,-1,3,59,12,3,1,-2,2,395,11,0,1,-3,1,149,10,-2,-2,1,-1
158,6,3,901,-21,13,59,-15,10,909,-20,12,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,16,3,-1,2,0,976,15,-1,3,1,1,59,13,-2,-2,1,-2,126,12,3,2,1,-1,193,11,-3,1,-2,-1
174,7,4,902,-9,14,52,-40,11,918,-20,13,383,-27,10,2147483647,2147483647,4294967295,909,21,-8,9,-9,6,14,13,2,-2,-2,1,193,12,-1,2,1,0,126,11,0,-1,-1,1,327,10,-1,-1,1,-3
205,8,5,903,-8,15,47,-20,11,375,-29,10,925,-20,13,168,36,8,909,22,9,0,8,3,14,14,-3,2,-4,-1,193,12,1,-2,1,1,149,11,-2,1,1,1,327,10,1,1,-1,-2
221,9,5,904,-8,15,44,-22,11,928,-12,14,369,-29,10,166,35,9,909,21,-3,-1,-4,-2,954,21,2,-4,4,-3,14,14,1,-2,3,1,149,12,-1,-2,-1,0,193,11,1,-1,-2,-1
