timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
9,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
34,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,708,23,-13,-11,-14,-4,59,14,-5,-3,4,1,104,12,2,-4,-3,5,462,6,-1,-2,2,0,216,3,-1,1,0,0
58,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,708,25,7,-12,3,-13,59,15,4,-1,-4,-1,104,14,-1,4,3,-4,462,8,2,1,-3,1,395,7,-1,-2,3,3
83,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,708,26,16,2,11,-4,59,16,-3,4,4,1,104,16,-3,-4,-2,3,149,14,4,-2,-2,-2,193,12,0,4,2,0
108,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,708,26,3,11,8,6,59,16,2,-2,-5,-2,104,16,2,3,3,-5,149,15,-3,2,3,3,216,13,1,-3,1,-1
134,5,2,708,8,25,59,60,15,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,708,26,1,4,4,4,59,16,-2,1,3,1,104,15,-1,-2,-1,4,149,14,1,-2,-3,-1,216,13,1,2,-1,-2
158,6,3,708,8,25,59,65,15,104,56,15,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,708,25,-2,-4,-4,-2,59,16,4,0,-2,1,104,16,1,4,-2,-2,149,14,-3,0,2,-3,283,10,-1,-2,-3,-3
183,7,4,708,9,25,59,68,15,111,56,15,238,7,11,2147483647,2147483647,4294967295,708,26,12,-9,4,-10,59,15,-2,0,1,-2,149,14,1,0,0,0,283,11,1,2,1,3,327,10,-1,2,-2,1
208,8,4,708,9,25,64,69,15,104,58,15,245,8,11,2147483647,2147483647,4294967295,708,26,11,7,10,1,104,16,3,-2,-3,1,59,15,-1,-3,0,4,283,10,-1,0,0,1,327,10,-1,-2,-1,-1
233,9,4,708,9,25,69,73,15,98,60,15,257,12,11,2147483647,2147483647,4294967295,708,27,-1,15,5,11,104,15,2,2,-2,0,59,15,2,-1,2,2,327,11,1,2,1,-2,283,10,1,-1,-2,-1
