timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
14,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
30,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,775,13,5,2,5,0,842,12,-4,2,-3,2,305,6,1,2,2,0,372,6,-1,-2,-1,-1,59,3,1,-1,-1,1
45,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,775,13,2,-2,1,-1,842,12,-1,2,1,0,59,10,1,3,2,1,126,10,-3,-1,-3,-1,260,10,-3,1,-1,-2
77,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,797,16,5,-3,5,-2,752,16,-3,-5,-3,-4,126,12,3,2,1,2,171,12,-2,3,-4,-1,260,11,2,-2,1,3
108,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,797,17,4,-4,4,-6,752,17,-3,-4,-4,-3,126,13,-3,-2,1,-3,81,13,-1,4,-2,0,171,13,2,-2,3,1
123,5,3,779,1,15,797,1,14,197,-22,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,797,17,2,-3,3,-1,752,17,-3,-3,-1,-3,81,13,2,-2,1,3,126,13,0,2,-2,2,171,13,-2,-2,0,-2
155,6,4,774,1,15,797,2,15,178,-21,11,108,-16,12,2147483647,2147483647,4294967295,797,17,2,0,3,-1,752,16,1,-1,0,-3,81,13,-1,-1,-2,1,126,13,1,-1,-1,-2,37,12,-2,2,1,2
170,7,5,771,2,15,797,2,15,158,-20,11,103,-13,12,107,1,11,797,16,1,1,-1,-2,752,16,0,-1,-2,1,37,13,2,-2,-1,-1,81,12,1,1,2,-3,149,12,1,-1,1,1
202,8,5,769,3,15,797,3,15,142,-20,11,100,-12,12,116,1,11,752,15,2,2,2,-1,797,15,-1,1,1,2,37,13,0,2,-1,0,81,12,-2,1,-1,0,171,12,-2,1,0,0
233,9,5,767,3,15,797,3,15,131,-21,11,97,-13,12,123,3,11,797,15,-3,1,0,1,752,15,1,2,2,1,37,13,-2,1,1,0,81,12,1,-2,1,0,171,12,-2,1,0,1
