timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
9,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
34,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,439,29,0,-33,23,12,14,9,-1,3,1,1,193,9,-1,-3,1,0,238,8,3,0,0,1,819,6,2,-1,-2,2
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,439,29,-15,-2,7,-13,14,11,-2,-2,2,-1,59,11,3,-2,1,2,104,10,2,3,-2,1,238,10,-2,-1,1,1
83,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,439,28,5,4,-3,4,59,11,0,2,-1,-3,819,11,-3,1,-1,0,238,10,1,-1,1,1,149,8,0,1,1,-1
109,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,439,28,7,-4,-2,6,37,11,1,-2,1,1,819,10,-1,0,3,2,104,10,1,-1,-1,-1,238,10,-1,1,-2,1
135,5,4,439,-44,28,238,-45,10,27,-69,10,130,-44,9,2147483647,2147483647,4294967295,439,28,-5,14,-9,-9,819,12,3,0,-3,2,238,12,1,3,-1,-1,14,11,-1,1,2,2,104,10,1,1,1,-1
159,6,5,439,-43,28,223,-38,10,29,-38,10,122,-47,9,819,-62,9,439,28,16,-2,-4,13,37,12,-3,0,-1,-4,81,12,-1,-3,3,1,819,11,-1,1,-2,-3,149,11,1,3,-4,1
184,7,5,439,-44,28,27,-46,11,116,-49,10,819,-62,9,212,-38,10,439,30,-16,21,-10,-21,14,13,3,0,-1,-1,81,12,-1,2,0,-1,819,11,0,-1,0,1,752,10,1,2,0,1
208,8,5,436,-44,28,25,-32,11,129,-45,10,810,-53,9,204,-38,10,417,30,-13,-5,9,-7,14,13,1,-3,1,-2,216,13,3,-1,0,4,752,11,-2,-2,0,-2,819,11,2,0,1,1
234,9,5,434,-44,28,24,-32,11,133,-48,10,804,-53,9,208,-31,10,417,29,-9,2,3,-9,14,14,-3,0,2,0,238,13,3,-1,2,-3,171,11,-1,-2,-3,1,752,11,1,2,-1,-2
