timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
16,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
34,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,171,17,-1,-8,-7,7,305,6,-1,2,3,2,641,6,1,-2,-2,-1,439,4,0,2,2,1,372,3,1,-1,-2,-1
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,171,17,2,-3,-1,3,350,9,-1,3,1,-2,484,8,2,-2,1,-2,641,8,-2,-1,-3,0,708,7,2,-1,0,-2
84,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,149,17,-2,4,-1,-2,350,9,-1,0,-2,3,484,7,0,1,1,3,663,7,1,1,2,3,708,7,-1,-1,-1,1
108,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,149,20,3,8,5,-2,372,9,2,1,2,1,484,7,-1,1,1,-2,663,7,0,-1,-1,0,708,7,1,0,1,1
133,5,3,162,52,18,654,7,7,363,12,7,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,171,22,-6,8,4,-2,372,9,-1,1,-1,0,327,9,1,1,1,2,663,9,0,2,-1,2,752,8,0,-2,1,-1
159,6,4,156,50,19,655,5,7,364,8,8,734,2,7,2147483647,2147483647,4294967295,126,22,6,5,1,-8,171,21,-4,3,9,0,372,9,1,-1,2,-2,797,9,-2,0,-1,-1,663,8,0,-1,1,-4
183,7,5,151,58,19,365,14,8,745,-4,7,656,5,7,468,22,7,126,22,-2,6,-2,-8,171,21,-7,1,7,-1,372,10,-1,-2,-2,1,417,9,2,-1,0,-2,797,9,1,-1,2,1
208,8,5,148,54,19,366,14,8,752,-4,8,657,5,7,475,29,7,126,22,3,7,6,-6,372,10,1,1,2,0,529,9,1,2,2,-2,998,9,-1,2,1,0,417,8,-1,0,-1,2
233,9,5,146,53,20,362,14,8,464,29,7,758,-4,8,658,5,7,126,23,-1,10,4,-2,327,10,1,0,-1,0,372,10,1,1,-1,-1,998,10,1,-2,1,-1,417,8,-1,-1,1,-1
258,10,5,146,52,20,363,14,8,472,27,7,654,-1,7,762,-4,8,149,23,-9,3,4,3,372,10,-1,1,0,1,551,9,1,-2,2,1,618,9,1,2,-2,0,998,9,-1,0,-1,0
282,11,5,144,57,21,363,12,9,484,27,8,649,-7,8,765,-4,8,149,23,-6,2,5,-4,551,10,1,2,-2,1,596,10,-2,1,-1,-2,372,9,0,-1,-1,0,998,9,1,1,-1,0
308,12,5,142,53,21,365,7,9,495,-46,8,645,-7,8,774,-4,8,149,23,-5,5,5,4,372,10,2,1,1,2,596,10,1,-1,3,0,998,9,1,1,2,3,439,9,0,2,-2,0
333,13,5,142,52,22,363,-4,9,501,-63,8,638,-16,8,783,-4,8,149,22,0,4,2,-3,327,12,-1,3,-4,1,372,11,-2,-1,-1,-3,551,10,-2,-1,-1,1,596,10,0,-2,-1,1
358,14,5,142,55,22,358,-5,10,506,-63,9,631,-16,9,383,-16,8,149,22,-1,6,3,-1,327,11,-1,0,0,1,529,10,0,-2,-1,1,372,10,0,0,-1,0,596,10,1,1,0,-1
383,15,5,139,53,22,354,0,10,510,0,9,625,-16,9,396,-16,9,149,21,-1,2,5,0,327,11,2,-1,2,-3,529,10,1,-1,2,-1,797,10,-2,-1,-3,2,462,10,-2,0,-2,-1
409,16,5,142,55,22,349,1,10,515,11,9,607,-12,9,797,-16,9,149,21,-3,1,3,-1,327,12,-2,-2,-1,0,529,11,-1,2,1,2,484,10,2,0,3,-2,797,10,0,1,1,2
