timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
12,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
35,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,81,9,1,-3,-3,-1,37,8,-3,0,-1,2,171,6,-1,2,5,1,864,6,1,-2,1,4,954,6,-2,1,-1,-2
60,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,37,11,3,0,1,1,81,11,-2,2,0,0,887,10,3,-2,-1,0,931,10,3,2,0,0,797,9,-3,0,0,1
84,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,14,2,-4,3,2,81,10,1,1,-1,-1,37,10,-1,0,-1,-1,149,10,-2,-1,3,-1,395,9,-2,1,-2,3
110,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,14,2,-2,-1,3,37,10,1,-1,-1,-4,104,10,1,-1,2,4,149,10,-1,1,-4,1,395,8,0,-1,1,-3
134,5,3,882,-51,11,90,2147483647,10,37,26,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,13,0,-2,1,1,37,10,-2,-1,2,3,104,10,1,1,-4,-2,149,10,1,-1,2,-3,193,9,2,1,1,1
159,6,3,879,-45,11,92,-56,10,37,19,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,864,14,-2,-3,3,-2,909,14,2,-3,2,3,104,10,-1,-2,3,-2,37,10,-1,1,-3,-1,305,10,-1,2,-2,-3
183,7,4,877,-42,12,100,-40,10,37,23,9,148,23,8,2147483647,2147483647,4294967295,864,14,-3,0,-1,-2,37,10,2,0,0,-2,149,10,-2,-1,-2,-1,104,10,-1,1,-1,2,305,10,0,-1,-2,1
209,8,4,875,-40,12,101,-32,10,37,37,10,154,14,9,2147483647,2147483647,4294967295,864,14,-2,0,-1,-2,104,12,3,1,1,-1,37,11,-1,-2,-1,5,193,11,-3,0,-4,0,149,11,0,2,0,3
233,9,4,874,-40,12,101,-32,10,37,37,10,158,15,9,2147483647,2147483647,4294967295,864,14,-2,-1,3,-3,104,12,0,-2,-1,1,708,11,1,-3,-1,0,37,11,-1,1,3,-4,193,11,1,1,3,-1
259,10,4,875,-41,12,101,-32,10,37,37,10,162,17,9,2147483647,2147483647,4294967295,104,13,-2,3,1,-1,887,13,-1,-1,1,0,37,12,3,1,-2,-1,708,11,-1,1,1,1,193,10,-1,-1,0,2
284,11,4,877,-38,13,103,-51,11,37,42,10,164,10,9,2147483647,2147483647,4294967295,104,13,1,-2,-2,1,887,13,-2,1,-1,-2,37,12,-2,1,1,2,708,10,1,-1,1,1,193,10,1,1,0,-1
308,12,5,877,-36,13,106,-46,11,37,37,10,166,10,10,756,31,9,104,13,-1,1,-1,0,887,12,1,-1,2,0,37,12,1,-2,3,-2,663,10,1,2,-2,2,327,10,-1,-2,-1,0
