timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
18,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
34,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,9,-1,3,1,-1,283,9,-1,-3,-1,0,126,8,3,0,-1,2,59,7,-2,-2,1,-1,216,7,-2,2,1,-1
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,126,10,-1,-2,0,1,14,9,-1,-1,1,-5,283,9,-1,1,1,0,59,7,-1,1,4,0,216,7,0,1,-1,1
84,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,283,10,2,1,-1,-1,954,10,3,-1,-1,1,149,9,-2,0,0,-1,462,9,-1,2,-1,1,506,9,-1,-2,-1,-1
109,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,305,10,2,-2,-2,0,37,10,2,-2,-2,4,126,10,-1,2,-2,-2,238,9,-2,0,1,2,395,9,0,2,1,2
134,5,2,287,47,9,95,-55,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,998,13,-3,2,-1,-2,37,12,-3,1,0,-2,283,11,-1,2,3,0,327,10,1,-1,1,4,126,9,1,0,3,1
159,6,2,286,49,9,81,-49,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,12,2,-1,2,2,283,10,-1,1,-1,-1,327,10,-2,0,-1,-2,238,10,2,0,-1,1,462,10,2,1,0,3
184,7,4,286,44,9,75,-45,10,394,-23,9,97,-59,8,2147483647,2147483647,4294967295,37,11,-1,1,-3,-2,462,10,-2,-1,1,-1,551,10,2,2,-1,0,126,10,2,-1,-1,1,283,10,-1,1,-1,2
209,8,4,285,44,10,70,-37,10,394,-27,9,100,-42,8,2147483647,2147483647,4294967295,37,13,3,-2,3,0,126,11,-2,1,-2,1,283,11,2,-1,0,0,395,11,-2,-1,1,0,462,11,2,0,-1,0
234,9,5,290,41,10,66,-39,10,394,-24,10,103,-45,8,493,-3,9,37,12,1,0,-2,-2,327,11,-1,-2,0,-1,395,11,2,0,1,1,462,11,-1,2,1,1,126,10,-1,-1,2,0
259,10,5,291,37,10,63,-36,10,389,-25,10,105,-45,9,481,1,10,37,12,-2,1,-1,3,305,11,2,0,1,-1,350,11,-1,2,1,0,395,11,-1,-1,-1,2,462,10,-1,0,-1,0
284,11,5,294,42,10,54,-32,11,384,-25,10,117,-61,9,479,1,10,37,13,-3,-1,1,-4,305,11,-2,0,0,-1,350,11,1,-1,2,1,462,11,0,-2,0,0,171,10,1,2,-1,-1
308,12,5,296,61,10,45,-33,11,394,-18,10,123,-39,9,466,-5,10,37,13,3,0,-1,4,126,11,-2,1,-1,-1,305,11,1,-1,1,4,484,10,-1,2,1,2,350,10,0,1,-4,1
334,13,5,296,36,10,34,-33,12,392,-9,10,130,-34,10,464,-3,10,37,13,-1,1,3,-2,439,11,-3,0,-3,1,484,11,0,-2,-1,-2,126,10,1,-1,-2,-1,283,10,1,-2,-3,-2
359,14,5,285,28,10,36,-24,12,396,-12,10,448,-2,10,130,-34,10,59,12,1,-1,0,-3,193,11,1,-2,-2,-1,439,10,0,-1,1,-3,283,10,1,1,3,-1,350,10,-1,1,-2,3
383,15,5,291,8,10,408,-9,10,39,-17,12,137,-37,10,432,-2,10,59,13,-2,2,-2,3,439,11,2,1,0,2,350,11,-1,-2,0,-2,775,11,-1,2,-1,2,193,10,0,1,-1,2
409,16,5,298,12,10,419,-3,10,39,-15,12,130,-47,10,421,-2,10,14,12,0,2,-1,1,59,12,-1,-1,1,-1,439,10,0,1,3,-3,350,10,-1,0,-1,1,775,10,1,0,1,-1
