timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
17,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
33,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,931,11,4,1,0,2,14,7,-2,2,3,-1,238,6,2,1,2,-1,283,6,-1,2,1,2,462,6,-2,1,0,0
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,976,13,2,4,-5,1,462,8,1,-2,-1,3,506,8,1,2,-4,-2,14,7,1,1,-2,-1,81,6,-1,-2,-1,0
84,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,954,15,5,1,3,1,998,15,-1,5,-1,2,193,10,0,3,-1,0,14,9,1,-2,-2,-4,81,7,1,1,4,1
109,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,954,16,3,-3,1,5,193,12,3,-1,-3,1,126,10,-2,-2,4,1,14,9,1,1,-1,0,81,9,-2,1,1,-3
134,5,2,958,-31,14,58,75,8,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,976,17,5,-1,1,2,193,13,-3,0,0,-3,126,11,1,2,-3,1,305,11,-1,3,0,1,14,10,-1,-2,1,3
158,6,3,961,-29,14,70,75,9,211,-15,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,976,17,4,-3,3,2,216,14,4,2,0,1,126,13,-4,-1,0,0,260,13,-2,3,0,1,305,11,-1,-2,1,1
183,7,4,966,-28,15,71,-14,10,206,-13,10,40,0,9,2147483647,2147483647,4294967295,998,19,6,-3,3,3,81,15,-3,-4,-2,-5,171,15,2,3,0,3,216,14,-2,1,-3,-1,37,13,-3,3,-5,4
209,8,5,970,-27,15,72,-7,11,196,-12,11,36,4,10,260,7,9,998,19,1,-5,5,-1,81,16,4,3,3,3,126,15,-1,4,-3,3,14,15,0,-5,-2,-4,171,14,-2,-1,-1,-2
233,9,5,973,-27,16,73,0,11,188,-13,11,33,6,10,250,13,10,998,19,-2,-4,0,0,81,16,1,-2,-5,-1,14,16,-2,3,1,5,126,15,1,1,-2,-6,171,14,-1,1,6,-3
