timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
15,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
24,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,22,-15,4,-9,-3,372,22,3,14,-4,8,14,7,-2,-2,0,-2,685,7,-2,2,-3,2,59,6,2,-1,1,-3
55,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,24,-11,-9,-4,-10,663,10,-2,-2,1,-1,126,8,-1,-2,-5,-1,171,8,2,-1,1,-4,775,8,-2,1,-1,0
71,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,26,-4,-17,10,-11,126,10,1,2,3,1,171,9,-2,0,-1,1,663,9,0,0,-1,-2,819,8,1,1,2,2
102,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,28,12,-13,12,-4,37,11,-3,2,1,1,976,10,2,2,0,2,104,10,0,-2,0,-1,171,10,2,0,2,3
133,5,2,417,-13,25,77,15,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,28,18,-2,14,8,37,12,1,-3,2,0,976,11,-2,-1,2,-3,104,10,1,2,-2,1,171,10,1,1,-1,-3
149,6,3,417,-13,26,70,14,9,130,3,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,29,16,11,2,15,37,12,1,1,-3,1,976,10,-1,1,-2,0,104,10,0,-1,2,-1,171,10,-1,1,0,4
180,7,3,417,-13,26,68,14,10,126,0,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,417,30,4,18,-6,17,59,12,2,2,2,0,104,11,-2,2,-1,0,149,10,-1,-2,-1,-2,193,10,2,1,3,-1
196,8,4,417,-13,27,67,14,10,123,4,10,162,-14,10,2147483647,2147483647,4294967295,417,30,-9,17,-18,5,59,13,-3,1,0,0,104,12,1,-3,-1,1,149,12,2,2,-2,1,193,11,-2,1,-2,-1
227,9,4,417,-14,27,64,11,10,120,3,10,160,-5,10,2147483647,2147483647,4294967295,417,30,-16,6,-13,-7,37,12,1,-2,2,0,104,12,-1,1,-2,2,149,12,-1,-2,-2,-2,618,11,2,2,3,2
