timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
9,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
32,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,663,13,1,5,-2,3,596,12,2,-4,3,-3,14,10,-2,3,-3,-1,216,6,-2,-1,-2,-1,864,6,2,1,2,2
48,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,618,14,4,-2,2,2,663,14,2,3,-2,3,59,11,1,3,-1,-1,14,10,-1,-2,0,1,126,7,-2,1,-1,-2
79,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,663,15,3,3,-2,4,14,12,2,2,1,2,59,10,-1,0,-2,-1,149,10,2,2,1,2,193,9,-1,2,-1,1
95,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,663,15,2,3,0,1,14,13,2,-3,1,2,59,12,3,1,0,3,149,12,-3,-1,-1,-4,439,10,1,-2,-3,-2
126,5,3,663,-20,14,23,-30,11,121,-18,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,663,15,2,1,1,2,14,13,-1,1,-3,-2,149,12,-1,2,-2,1,104,11,2,2,2,3,439,10,-2,0,1,-1
157,6,3,663,-18,14,21,-41,12,130,-11,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,663,15,2,-3,1,-1,14,13,-2,2,4,-1,171,12,3,1,3,0,104,11,-1,-2,-4,-3,238,11,-2,2,-1,1
173,7,4,663,-20,14,20,-37,12,135,-9,10,113,-2,11,2147483647,2147483647,4294967295,663,15,1,-2,3,2,14,13,-1,-2,-2,-1,171,13,-2,2,-3,2,59,12,2,-2,1,-3,730,12,0,1,-4,-1
204,8,4,660,-20,14,19,-44,12,129,-15,10,122,-5,11,2147483647,2147483647,4294967295,641,15,-2,-2,1,-4,14,12,-1,1,3,-1,81,12,1,-3,0,4,171,12,-1,1,0,-4,484,11,2,-2,2,-1
220,9,4,658,-21,14,19,-45,12,126,-20,10,126,-5,11,2147483647,2147483647,4294967295,641,16,1,-4,3,0,104,12,-2,1,1,-3,149,12,-2,-1,3,2,14,12,1,1,1,-1,484,11,-2,1,1,0
251,10,5,656,-23,15,23,-36,12,124,-21,11,129,-7,11,458,53,10,641,18,4,-6,6,2,104,14,1,-4,1,0,59,14,-4,-1,-1,-1,149,13,3,1,-1,1,484,11,1,-1,-1,1
282,11,5,654,-23,15,27,-47,12,112,-24,11,131,-7,11,461,32,10,641,18,3,-4,7,1,59,15,3,2,-1,1,104,14,0,2,-2,0,484,10,0,1,0,1,864,10,-1,-1,-2,1
298,12,5,652,-22,16,27,-34,13,110,-20,12,133,-7,11,464,32,10,641,18,-1,-3,0,-2,59,14,0,-2,3,-1,104,13,2,1,2,2,14,12,-1,-1,0,-3,260,10,-2,-1,-1,-2
