timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
12,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
33,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,15,3,-6,5,0,797,13,2,5,-2,3,149,9,-1,-3,1,1,216,6,2,-1,1,-1,305,6,-1,2,-1,-1
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,15,2,-2,4,-2,149,10,-1,2,-2,-1,59,8,1,-2,3,1,216,8,-2,-1,2,-1,305,8,2,-1,-2,2
85,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,752,16,-4,-2,-2,-4,149,9,0,0,2,1,216,8,1,-1,-1,1,305,8,-1,-1,1,-1,439,6,-2,0,-3,-2
110,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,730,19,-5,-7,2,-6,14,11,-3,-2,3,0,216,11,1,3,-1,2,149,11,2,-2,1,-2,283,10,-3,0,1,-1
134,5,4,734,-17,17,149,-11,10,296,-51,8,216,-26,8,2147483647,2147483647,4294967295,730,21,-8,5,-6,-2,149,12,-3,1,-4,0,14,11,2,0,-1,-2,216,11,-1,-2,3,-1,283,10,1,1,-4,1
158,6,4,733,-17,17,149,-11,10,216,-23,9,294,-45,8,2147483647,2147483647,4294967295,730,21,4,-1,2,1,149,12,-2,1,0,0,14,12,-2,1,0,-3,216,11,-1,-1,-1,-2,283,10,1,-1,3,0
183,7,5,736,-15,18,149,-12,10,216,-25,9,292,-45,8,32,-39,10,752,22,-4,9,-7,4,149,13,3,0,-2,-1,37,12,-1,3,0,2,81,12,-3,-2,-2,1,216,10,-1,0,2,1
210,8,5,738,-15,18,135,-12,11,207,-29,9,282,-40,9,39,-39,10,752,22,5,1,2,3,37,13,1,-3,-1,2,149,13,-1,-2,1,1,81,12,2,2,-1,-1,216,12,2,2,-1,-1
234,9,5,739,-15,19,136,1,11,208,-37,10,39,-39,10,275,-40,9,752,21,-1,1,-1,0,149,13,-1,2,2,3,216,13,-1,-3,-3,2,37,12,0,0,1,-6,104,12,2,1,4,0
