timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
9,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
33,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,573,18,-9,-2,-8,1,618,18,2,-9,1,-7,484,8,3,0,3,-1,81,6,-2,-1,-1,0,149,6,1,-2,1,-1
60,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,618,20,-2,-8,-5,-7,573,20,-7,3,-5,4,149,7,0,2,-3,1,238,4,-1,-1,2,1,327,4,1,-1,-1,1
83,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,618,19,-1,-2,-3,-2,149,7,1,-1,0,-3,305,7,-2,1,-1,1,260,6,0,2,-1,2,842,6,1,1,0,1
109,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,618,19,1,-3,1,-3,37,13,2,-3,-1,-1,81,12,4,2,1,-2,149,11,-3,2,2,4,305,10,2,-2,2,-1
134,5,2,618,4,18,108,13,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,618,18,2,-2,1,-1,59,15,-4,3,1,0,149,13,3,-2,-1,-1,305,10,0,2,-1,1,260,9,1,-1,1,2
159,6,3,618,4,18,100,7,10,291,-5,8,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,618,18,1,-4,1,-6,59,15,2,-1,2,-1,14,14,0,-2,-1,-1,149,14,-3,1,-2,2,305,10,1,-1,1,-2
184,7,4,618,4,18,97,13,11,293,7,8,171,21,11,2147483647,2147483647,4294967295,618,17,0,0,1,2,81,14,0,-1,-3,1,149,13,1,-1,-1,-1,305,11,-2,-1,-2,3,260,10,-2,1,2,2
208,8,4,618,4,18,101,8,11,282,1,8,186,21,11,2147483647,2147483647,4294967295,618,16,-2,0,-2,2,126,13,-3,0,0,-1,216,10,2,0,-1,2,260,10,-1,1,-1,-1,305,10,0,0,1,0
234,9,4,618,4,17,101,18,11,282,-5,9,196,21,11,2147483647,2147483647,4294967295,618,16,-2,2,-1,1,104,13,1,2,1,-2,283,11,2,2,-1,1,327,10,0,2,-1,0,775,10,2,1,1,1
