timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
9,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
25,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,16,-5,6,-2,6,104,6,2,-1,-2,-1,149,6,1,2,0,-2,439,6,-1,-2,1,-2,193,3,-1,1,2,1
56,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,17,2,5,1,8,797,13,-2,-4,1,-3,752,9,-2,2,-1,-1,104,8,-1,2,2,1,216,8,2,-2,1,-1
72,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,18,1,6,0,6,216,10,-2,2,1,-1,104,10,-2,-1,-1,0,663,9,-2,1,-2,-2,596,9,2,0,1,0
103,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,887,20,8,1,6,-2,216,10,-1,1,-2,-2,551,10,2,2,1,1,596,10,-2,0,-1,1,752,10,-2,1,-1,-2
134,5,1,895,4,18,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,21,9,1,7,-2,551,12,0,-3,2,-2,372,11,3,1,2,2,596,10,2,1,1,1,663,10,-2,1,-1,1
150,6,2,898,2,18,622,-17,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,909,21,5,-5,4,-2,81,11,-2,2,-2,3,551,11,0,1,0,2,372,11,-1,-1,-2,-3,663,10,2,0,2,-1
181,7,4,899,1,19,610,-14,10,613,0,9,97,18,9,2147483647,2147483647,4294967295,909,22,-4,-8,-3,-9,81,12,3,-1,-1,1,551,11,-1,1,-1,2,372,10,-1,1,2,2,663,10,1,-1,1,0
197,8,5,900,1,19,602,-13,10,95,17,9,622,0,9,405,-11,8,909,22,-6,-1,-6,1,81,12,1,0,3,-3,551,11,2,1,0,-1,283,10,2,-2,-1,0,372,10,-1,1,-1,1
228,9,5,901,2,19,595,-13,10,86,3,10,399,-10,8,230,-21,9,909,21,-2,2,-1,3,14,13,-2,-3,3,-2,350,12,1,-3,2,-2,81,11,0,1,-2,3,305,11,-2,-2,-1,-2
259,10,5,902,2,19,85,19,10,590,-13,10,394,-11,8,233,-28,9,909,21,3,0,3,-2,81,12,-1,3,2,-2,350,11,1,0,-3,1,260,11,-2,0,2,-2,305,11,-1,-1,1,2
