timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
18,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
33,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,6,-1,-2,-1,0,596,6,1,-2,1,-1,663,6,1,2,0,0,171,3,1,-1,2,2,238,3,1,1,-2,-2
59,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,12,1,4,1,-1,126,7,-2,1,-2,3,730,7,2,-1,-1,-2,887,7,-2,1,-1,1,954,7,-1,-2,0,0
83,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,14,1,-4,-2,0,81,12,2,4,-1,-1,171,9,-2,-2,0,-4,954,9,1,-2,0,-1,260,7,2,1,0,3
108,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,14,-1,3,1,2,81,14,-1,-4,-1,0,216,10,-2,2,-2,2,171,9,1,1,2,2,260,9,-2,-1,-2,-3
134,5,2,14,20,12,108,0,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,15,2,-3,2,-2,81,14,2,2,1,2,216,10,2,0,2,-2,260,10,-1,2,3,3,171,9,-1,-1,-1,-1
158,6,2,14,14,12,103,-20,10,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,14,15,1,3,-2,1,81,14,-3,1,1,-2,238,10,2,-1,1,-3,171,9,1,-1,-2,1,618,9,-1,1,1,1
183,7,3,14,15,13,100,-39,11,238,6,9,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,81,15,3,-2,0,4,14,15,-2,-1,1,0,260,10,1,-1,-3,0,484,9,-1,1,1,-1,618,9,1,0,-1,-2
208,8,4,14,18,13,95,-53,11,219,24,9,193,14,9,2147483647,2147483647,4294967295,59,15,2,-2,-3,-1,14,14,-1,-2,1,1,126,12,1,3,6,-4,216,11,-2,-2,-4,1,730,10,-2,1,-1,1
233,9,4,26,47,13,91,-53,12,218,29,10,196,14,9,2147483647,2147483647,4294967295,59,16,-4,1,2,2,126,13,2,-3,-4,3,216,12,1,3,4,-3,506,11,2,2,0,1,462,11,2,-2,1,-1
258,10,4,36,59,13,87,-71,12,218,31,10,204,18,9,2147483647,2147483647,4294967295,59,16,3,1,1,2,126,13,-2,1,-1,-3,216,12,-1,-1,-1,4,327,11,-2,3,2,-2,260,11,2,1,-3,0
283,11,4,40,52,14,83,-71,13,218,28,10,210,16,10,2147483647,2147483647,4294967295,59,15,1,-2,-1,-2,126,13,1,2,1,1,216,12,1,-2,0,-3,327,12,-1,-2,-2,3,260,11,2,1,3,0
307,12,4,45,71,14,83,-71,14,218,28,10,215,19,10,2147483647,2147483647,4294967295,59,15,-2,1,-1,-1,216,11,0,1,2,1,260,11,-2,-1,1,2,641,11,2,1,1,1,327,11,1,1,-2,1
333,13,5,47,-47,14,92,-56,14,213,30,11,231,21,10,701,19,9,37,14,2,1,1,-1,327,12,-1,-3,4,-2,641,12,-1,-2,-1,0,171,11,2,1,-2,2,216,11,1,1,-2,0
357,14,5,50,-79,14,92,-38,14,206,32,11,246,32,10,692,19,9,37,13,1,1,3,-3,81,13,1,2,2,2,149,13,-3,-2,-2,1,327,12,1,2,-3,-2,372,11,-2,-1,2,-3
398,15,5,56,56,14,99,66,13,200,32,11,253,47,10,683,19,10,81,13,1,-2,-6,-3,149,13,1,2,4,-2,327,12,0,-1,1,1,372,11,2,1,-1,0,462,11,-1,2,-2,1
407,16,5,61,49,13,106,42,13,191,32,11,269,44,11,492,-12,10,59,13,-2,2,5,1,149,12,1,-1,-4,-1,327,11,-1,0,1,-1,372,11,-1,-1,-1,2,462,10,1,0,1,-2
432,17,5,65,44,13,110,31,13,180,32,12,284,3,11,481,-16,10,59,14,2,-3,-4,-2,126,12,1,2,6,-3,327,11,0,2,-1,2,372,11,-1,1,-1,-3,954,10,-2,-1,-2,-1
459,18,5,70,42,13,119,23,13,191,22,12,295,-26,11,470,-21,10,59,14,-1,2,3,1,149,12,-2,-1,-2,-3,327,11,-1,-2,0,-2,372,11,1,-2,1,2,238,10,2,1,2,5
483,19,5,63,35,13,128,11,12,302,-35,11,193,14,11,452,-19,11,59,14,-1,-2,0,0,149,13,3,1,-1,2,283,12,0,-3,0,0,327,12,2,1,1,-1,238,11,-2,1,-1,-1
508,20,5,56,33,13,137,16,12,309,-23,11,200,12,11,434,-19,11,59,13,1,-2,2,-1,149,13,-1,2,0,2,327,12,-2,-1,-2,2,283,11,-1,1,2,1,238,10,-1,1,1,-2
532,21,5,56,34,13,315,-39,11,139,18,12,198,14,11,412,-11,11,59,13,0,2,-3,1,149,12,1,-1,0,-1,327,12,1,2,3,-2,193,11,0,2,1,0,283,11,1,-1,-1,-2
557,22,5,56,34,13,322,-25,11,142,21,12,195,16,11,390,-11,11,59,12,0,0,0,-1,149,12,-2,0,0,2,193,12,-2,-2,-1,1,327,12,-1,1,0,1,931,11,-2,1,-2,-1
583,23,5,65,34,13,318,30,11,144,21,12,193,16,11,367,-11,11,126,12,-2,-2,2,-3,193,12,2,1,-1,1,976,12,-3,-1,1,-1,59,12,1,1,-2,1,283,11,-2,1,1,2
608,24,5,74,33,13,313,30,11,155,24,12,197,16,11,345,-11,11,931,12,-1,3,-2,1,126,12,2,0,1,2,193,11,0,-1,-2,-2,976,11,-1,0,0,-2,59,11,-1,-1,1,-4
632,25,5,79,35,12,309,30,11,159,19,12,202,16,11,327,-11,11,931,12,1,2,-2,0,126,11,0,-1,-2,1,193,11,0,2,1,1,976,11,-2,0,1,-1,37,11,0,2,3,2
