timestamp,counter,number,distance1_2d,angle1_2d,level1_2d,distance2_2d,angle2_2d,level2_2d,distance3_2d,angle3_2d,level3_2d,distance4_2d,angle4_2d,level4_2d,distance5_2d,angle5_2d,level5_2d,distance1,level1,rx1_r1,rx1_i1,rx2_r1,rx2_i1,distance2,level2,rx1_r2,rx1_i2,rx2_r2,rx2_i2,distance3,level3,rx1_r3,rx1_i3,rx2_r3,rx2_i3,distance4,level4,rx1_r4,rx1_i4,rx2_r4,rx2_i4,distance5,level5,rx1_r5,rx1_i5,rx2_r5,rx2_i5
18,0,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0,32767,0,0,0,0,0
33,1,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,59,10,-2,3,-3,5,171,9,-1,-3,2,-3,395,9,-1,-3,-1,-1,305,8,0,3,-1,1,506,7,2,2,1,1
49,2,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,327,15,-6,-2,4,-3,372,15,2,-6,2,3,149,12,4,1,3,1,59,11,-2,-2,-1,-1,506,10,-3,0,-3,2
80,3,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,395,17,6,2,-1,3,327,16,-1,-4,1,1,506,12,1,-3,2,-3,149,12,-1,-1,-2,2,59,10,0,1,3,-3
96,4,0,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,2147483647,2147483647,4294967295,395,17,2,1,-4,4,14,15,4,4,1,3,59,13,-3,3,-2,1,506,12,-1,2,1,-1,149,12,2,-1,1,2
127,5,4,390,-40,15,506,-6,10,41,-3,12,117,-5,11,2147483647,2147483647,4294967295,395,17,2,4,-4,0,14,15,-2,-2,-1,-3,59,13,1,-2,2,-2,506,13,0,-3,3,2,149,11,0,1,-1,-1
158,6,4,391,-40,15,506,-8,11,36,-1,12,107,-4,12,2147483647,2147483647,4294967295,395,16,2,1,-1,2,14,16,4,0,0,-1,59,14,1,3,1,1,506,12,-1,1,-1,-1,149,10,-1,0,-3,0
174,7,4,391,-40,15,39,-2,13,119,-6,12,506,-8,11,2147483647,2147483647,4294967295,395,16,2,1,-1,1,59,14,-2,2,-2,1,193,12,3,1,1,2,149,11,1,-2,2,-1,238,11,0,3,-1,1
205,8,5,392,-39,15,36,-1,13,123,-5,12,500,-14,11,157,-19,11,395,15,-2,1,-1,-3,14,15,-2,-2,0,1,462,13,1,-2,1,1,149,11,0,2,1,-2,193,11,-1,0,2,0
221,9,5,392,-38,15,34,0,13,126,-1,12,501,-12,11,167,-10,11,14,15,2,-2,-1,0,395,15,0,2,-1,2,149,12,-3,1,0,3,216,12,-1,-3,-1,-2,506,11,1,-1,2,-1
252,10,5,392,-39,15,32,-4,13,119,-6,12,501,-12,11,164,-13,11,14,15,-1,3,-3,-1,59,14,-3,-1,2,-3,395,14,-2,1,1,-4,149,12,2,1,0,2,238,12,-2,0,-2,-2
283,11,5,392,-41,15,27,-12,14,112,-4,12,494,-10,12,162,-13,11,395,15,-3,2,1,0,14,15,-1,-2,2,2,327,14,3,2,-1,-2,439,14,-2,-3,-1,0,104,14,-3,1,-1,-1
299,12,5,395,-36,15,23,-25,14,108,61,13,488,-10,12,176,-18,11,395,16,-4,1,-2,-3,104,16,5,0,-5,-2,327,15,4,2,-1,4,14,15,-3,1,3,-2,283,13,2,-3,3,1
330,13,5,395,-42,15,18,-25,15,103,74,13,486,-35,12,186,-16,11,104,17,3,-4,-4,2,395,16,-1,3,2,-3,327,15,1,-1,-3,1,283,13,-1,1,0,3,484,12,-1,-3,2,0
360,14,5,395,-35,15,18,-44,15,108,2147483647,13,483,-35,12,186,-10,11,104,16,3,1,0,1,395,16,-4,2,-4,-1,14,15,-3,-1,-1,-3,149,14,0,3,1,1,216,12,-3,0,-2,-1
376,15,5,395,-34,15,18,-44,15,112,80,14,481,-27,12,191,-8,12,104,17,1,4,-1,-3,395,16,-3,2,-1,-4,193,13,-1,-3,-1,1,484,12,1,-2,1,1,573,10,-1,2,0,2
407,16,5,395,-32,15,27,-42,15,110,80,14,198,-5,12,479,-27,12,395,16,-1,3,-2,1,37,16,4,2,-1,-1,104,16,-1,0,0,0,216,12,-2,-1,-1,2,618,11,3,0,1,3
423,17,5,395,-30,15,95,78,14,32,-53,15,198,1,12,477,-27,12,37,16,-2,-3,2,2,395,15,0,-1,-1,-3,104,15,2,0,-3,-2,149,13,1,2,1,-2,618,12,-2,-2,2,-2
459,18,5,395,-27,15,83,74,15,41,-58,15,200,7,12,479,-27,12,37,16,3,1,-1,-2,104,16,-3,2,2,1,395,15,0,2,1,2,216,12,2,1,1,-2,618,12,1,1,-1,2
476,19,5,395,-28,15,72,74,15,50,-63,15,195,10,12,477,-27,12,37,16,-2,1,1,1,104,15,1,-2,-3,-2,395,14,0,-1,-2,-1,171,13,2,2,4,1,238,12,-3,-1,-4,-1
507,20,5,395,-23,15,70,2147483647,16,59,-63,15,479,-39,12,204,16,12,37,17,-5,1,-1,-2,395,13,1,0,1,-2,238,12,1,1,4,-1,618,10,1,0,-1,-2,529,10,-1,1,1,0
523,21,5,395,-24,15,66,2147483647,16,68,-63,15,213,18,12,488,-39,11,59,17,-2,4,-2,-2,395,13,-2,2,-1,-2,350,13,2,2,-1,2,238,11,-1,0,-2,0,283,11,1,-2,-1,-2
554,22,5,395,-25,14,61,2147483647,16,77,-63,15,204,24,12,488,-41,11,59,16,1,2,2,-3,395,13,1,-1,1,1,193,12,1,-2,-4,-3,439,11,1,1,-1,2,283,11,-1,1,2,1
570,23,5,395,-19,14,57,-65,16,94,28,14,209,28,12,484,-40,11,59,16,1,-1,-1,2,395,12,-1,-1,1,1,327,12,2,1,-2,-2,193,11,0,1,3,0,439,10,-1,0,-1,0
601,24,5,395,-25,13,52,-67,16,117,31,14,213,28,12,479,-40,11,59,15,1,1,-2,1,395,12,-1,-1,1,-1,193,11,1,2,-1,1,238,10,-2,0,-1,0,775,10,2,-1,1,-1
633,25,5,395,-13,13,50,-61,16,139,31,13,213,26,12,475,-36,11,81,15,-3,3,-1,1,395,12,1,2,-1,1,193,12,1,-2,3,2,350,12,2,0,2,1,439,11,-2,1,0,1
649,26,5,395,-15,13,54,-24,15,153,31,13,211,20,12,274,1,11,81,15,3,1,4,2,193,12,1,-2,0,-4,395,12,1,1,-1,-3,909,11,-2,-1,-3,-1,976,11,1,-2,4,1
680,27,5,392,-28,12,59,-30,15,166,31,12,215,13,11,287,1,11,81,15,-1,1,-2,-5,193,11,1,1,-2,3,372,11,0,-2,0,2,909,11,1,2,3,1,976,10,0,0,-2,-1
696,28,5,390,-35,12,63,-26,15,184,27,12,211,11,11,300,1,11,81,14,2,1,-2,-1,37,14,-1,-3,-1,4,372,13,3,-1,1,2,171,12,-2,-2,-2,0,283,11,-2,2,2,0
727,29,5,385,-31,12,67,-26,15,195,22,11,211,13,11,312,1,11,81,15,1,-3,-1,2,350,14,0,-4,2,-1,37,14,-2,-1,2,-1,171,12,2,1,2,-1,216,11,1,2,1,3
751,30,5,383,-32,12,72,-29,15,204,13,11,206,20,11,323,1,11,81,14,1,1,-1,-2,14,13,2,-1,1,2,372,13,2,-1,1,2,171,12,-1,-1,-1,1,216,11,0,-2,-1,-1
782,31,5,379,-33,12,74,-12,14,197,12,11,218,17,11,329,1,11,350,17,2,-6,4,2,81,14,-2,1,-1,0,37,13,0,2,-1,3,171,11,0,1,-1,1,216,11,1,1,-1,0
797,32,5,374,-33,13,76,-6,14,195,0,11,229,8,10,443,20,10,350,16,1,0,1,1,81,13,1,2,4,3,171,12,-1,-3,-1,-2,484,11,-1,-2,-2,0,216,10,1,-1,1,0
829,33,5,370,-33,13,78,-3,14,188,-2,11,227,5,10,439,25,11,350,15,1,-2,3,2,395,15,3,1,-3,2,81,13,-1,-1,-2,0,260,12,-3,1,-1,0,171,12,1,1,3,1
844,34,5,370,-30,13,81,-5,14,186,-4,11,220,5,10,430,29,11,395,15,1,2,1,3,350,14,0,-1,2,1,81,13,-2,-1,2,-2,484,13,-1,-3,-2,1,171,12,1,2,-2,2
876,35,5,370,-29,14,81,-2,13,193,1,11,213,5,10,434,17,11,395,14,-2,0,-2,-3,81,13,-2,-2,-1,2,484,13,2,2,1,1,260,12,-1,-1,2,2,171,11,0,1,-2,-1
907,36,5,370,-27,14,81,0,13,191,-4,11,206,5,11,425,-22,12,395,16,-4,3,-3,-2,350,16,3,4,-3,4,484,13,1,-2,2,1,81,12,0,0,-1,-1,171,12,1,-2,1,1
922,37,5,372,-29,14,78,25,13,182,5,12,200,9,11,416,-22,12,395,16,-3,2,-1,-4,59,13,-2,3,0,-2,104,13,-2,-2,0,2,171,11,1,0,-1,-2,216,11,1,1,3,-1
954,38,5,374,-31,15,76,25,13,175,4,12,189,9,11,419,-28,13,395,16,-3,0,2,-5,462,14,3,-3,2,3,59,13,-1,1,1,2,104,13,-2,-1,-1,1,14,12,1,-1,3,-1
969,39,5,374,-30,15,74,53,13,168,20,12,421,-28,13,184,9,11,350,17,1,6,-2,2,59,15,-2,-4,1,1,104,14,3,-3,-2,0,14,13,-3,2,-1,0,551,12,2,-2,-1,0
1001,40,5,372,-28,15,72,53,13,162,3,12,417,-29,14,180,9,11,350,17,-2,2,-3,0,395,16,-3,-2,0,-3,59,14,1,-1,0,1,104,14,2,0,1,1,14,13,0,-1,3,0
1032,41,5,372,-28,15,70,45,13,155,32,13,412,-30,14,175,9,11,59,16,-3,-5,-1,1,104,16,5,-3,-2,-2,350,16,-1,2,-2,-3,395,16,-2,-1,2,-2,14,15,-4,3,-1,0
1047,42,5,372,-29,15,148,27,13,67,45,13,417,-29,14,175,32,11,104,18,-4,4,-1,2,350,16,-2,3,2,0,216,11,1,-1,-2,-1,529,10,0,-2,-1,-4,573,10,2,0,3,-1
1082,43,5,372,-28,16,133,32,14,65,45,14,417,-25,14,180,43,11,104,17,2,0,-1,-2,350,17,-1,4,-3,0,395,16,-4,-2,-1,-2,529,12,-2,2,-1,1,216,10,-1,1,2,0
1098,44,5,370,-30,16,435,-24,14,126,48,14,63,67,14,184,43,10,104,18,-2,5,-1,-3,372,18,-5,3,-2,-3,59,17,5,3,-3,0,529,11,1,1,1,2,730,10,1,1,1,-1
1129,45,5,367,-28,16,110,50,15,61,2147483647,14,439,-24,14,191,53,10,372,19,-7,2,-3,-3,104,17,1,-1,0,1,59,17,0,-2,1,1,14,16,-1,2,1,-1,238,12,-2,-2,1,2
1145,46,5,365,-34,17,104,55,15,54,2147483647,15,457,-24,13,197,53,11,372,20,-4,4,1,-5,104,16,0,-2,2,3,14,15,0,0,-2,-2,909,10,0,2,-3,1,998,10,-1,0,2,-3
1176,47,5,365,-33,17,104,51,15,54,67,15,475,-24,13,204,53,11,395,19,-4,-3,4,-4,104,15,1,0,1,-4,59,15,-2,0,-3,-1,931,10,1,2,1,2,998,10,-1,1,-2,1
1207,48,5,363,-32,17,99,2147483647,16,59,67,15,482,-18,12,211,58,11,372,19,-4,-3,2,-4,59,16,3,3,-4,3,104,15,-2,2,-3,-2,238,12,2,-1,1,0,529,11,1,2,0,-1
1223,49,5,365,-34,18,95,-49,16,63,-71,15,488,-18,12,211,60,11,372,21,-4,-7,6,-2,59,16,-2,-2,3,-2,104,15,1,-3,2,3,171,13,2,2,-3,-2,238,12,-2,-1,3,1
1254,50,5,370,-37,18,90,-55,16,68,-71,15,502,-18,11,211,67,11,395,22,8,-6,3,10,59,15,1,1,4,-1,104,15,-2,0,2,3,171,12,1,1,-2,1,909,10,-2,1,1,1
1270,51,5,372,-38,19,83,-40,16,72,-65,15,515,-18,11,211,66,11,372,23,6,-10,5,7,37,16,-3,4,-1,-1,104,14,1,-2,1,-2,171,12,-1,1,1,1,909,10,1,-2,1,-3
1301,52,5,374,-36,20,77,-45,16,77,-46,15,515,-18,11,206,2147483647,11,372,24,8,-5,5,6,37,16,1,-2,2,2,104,14,1,2,-3,2,171,11,-1,0,2,-2,909,10,1,0,0,2
1332,53,5,376,-38,20,70,-49,16,81,-36,15,537,-32,10,202,2147483647,11,372,23,6,-1,-4,5,37,15,1,-2,-5,2,104,14,1,-2,2,-3,618,10,-1,2,-2,-2,931,10,-2,0,-2,-2
1348,54,5,376,-37,21,61,-48,15,86,-26,14,549,-46,10,197,2147483647,11,372,23,4,4,-3,6,14,16,3,2,-2,0,104,14,-2,1,3,2,641,10,2,-1,0,2,931,10,1,1,0,2
1379,55,5,376,-38,21,52,-53,15,86,-37,14,551,2147483647,10,184,2147483647,11,372,22,3,3,-2,-3,14,16,-3,-1,5,0,59,15,1,-2,0,6,104,13,2,-1,-3,-1,551,11,2,-1,-1,-2
1403,56,5,378,-37,21,43,-54,15,90,-37,14,553,80,10,171,2147483647,12,395,22,-3,4,-3,-3,14,15,1,-1,-2,-2,59,14,1,0,1,-3,104,13,1,1,2,1,551,11,-1,1,2,2
1419,57,5,378,-37,22,38,-56,15,99,-49,14,564,63,10,157,2147483647,12,395,21,-1,1,-1,-3,59,16,-5,2,3,-4,149,14,3,-3,0,4,641,12,3,-1,1,-1,551,11,-2,1,-2,0
1450,58,5,381,-38,22,38,-61,15,104,-53,14,575,64,11,153,-10,12,395,20,0,0,3,4,59,16,1,2,0,3,149,13,0,-1,-1,-5,641,12,-2,-1,1,1,193,11,2,-1,5,-1
1481,59,5,383,-38,21,38,-69,15,112,-55,13,589,53,11,155,-10,11,395,19,-2,-2,1,-1,59,15,0,-1,-1,1,663,12,-3,1,-2,0,193,12,-2,-1,-1,0,551,10,-1,-1,2,-1
1497,60,5,383,-37,21,36,-64,15,117,-42,13,602,0,11,157,-3,11,395,18,0,-1,0,-2,37,14,0,2,-1,0,149,12,1,2,0,0,663,12,2,0,2,1,193,11,-1,1,-1,1
1528,61,5,383,-33,20,36,-64,15,117,-33,13,616,0,11,159,-1,11,372,17,-2,-1,-1,-1,37,14,-1,-2,-1,-4,104,14,3,2,2,2,663,12,1,-1,0,-1,193,11,-2,-1,-1,1
1544,62,5,385,-36,20,43,-68,15,110,-41,13,625,-7,11,161,1,11,395,17,-2,-1,4,1,104,13,-1,-1,-1,-1,37,13,-1,0,1,1,193,11,2,0,2,-1,618,11,0,2,-1,0
1575,63,5,388,-27,19,43,-72,15,110,-62,13,622,15,11,164,4,11,395,16,-1,-1,-1,-2,37,15,4,-2,-4,0,104,14,-2,3,2,-2,193,11,0,-2,-1,1,596,11,1,2,1,-2
